Country,TotalArea,LandArea,WaterArea,Highest.point,Maximum.elevation,Lowest.point,Minimum.elevation,Pop2023
Tuvalu,26,26,0,Unnamed location on Niulakita,5,South Pacific Ocean,0,11396
Marshall Islands,181,181,11673,Unnamed location on Likiep,10,North Pacific Ocean,0,41996
Bahamas,13943,10010,3870,Mount Alvernia on Cat Island,63,North Atlantic Ocean,0,412624
Gambia,11295,10000,1295,Unnamed point,64,North Atlantic Ocean,0,2773168
Nauru,21,21,0,Command Ridge,65,South Pacific Ocean,0,1278
Niue,260,260,0,Unnamed location near Mutalau on Niue,68,South Pacific Ocean,0,1935
Kiribati,811,811,0,Unnamed location on Banaba,81,Pacific Ocean,0,133515
Qatar,11586,11586,0,Qurayn Abu al Bawl,103,Persian Gulf,0,2716391
Bahrain,786,786,0,Mountain of Smoke,122,Persian Gulf,0,1485510
Monaco,2.02,2.02,0,along Chemin des Révoires on Mont Agel,161,Mediterranean Sea,0,36298
Singapore,728,716,10,Bukit Timah Hill,164,Singapore Strait,0,6014723
Denmark,2166086,2166086,0,Møllehøj,171,Lammefjord,-7,5910913
Denmark,43094,42434,660,Møllehøj,171,Lammefjord,-7,5910913
Palau,459,459,0,Mount Ngerchelchuus on Babeldaob,242,North Pacific Ocean,0,18058
Malta,316,316,0,Ta'Dmejrek on Malta Island,253,Mediterranean Sea,0,535065
Guinea-Bissau,36125,28120,8005,Monte Torin,262,North Atlantic Ocean,0,2150842
Lithuania,65300,62680,2620,Aukštojas Hill,294,Nemunas Delta,-5,2718352
Kuwait,17818,17818,0,Mutla Ridge,306,Persian Gulf,0,4310108
Latvia,64559,62249,2340,Gaiziņkalns,312,Baltic Sea,0,1830212
Estonia,45227,42388,2840,Suur Munamägi,318,Baltic Sea,0,1322766
Barbados,430,431,0,Mount Hillaby,336,North Atlantic Ocean,0,281996
Belarus,207600,202900,4700,Dzyarzhynskaya Hara,346,Neman,90,9498238
Antigua and Barbuda,442,442.6,0,Boggy Peak on Antigua,402,Caribbean Sea,0,94298
Uruguay,176215,175015,1200,Cerro Catedral,514,South Atlantic Ocean,0,3423109
Luxembourg,2586,2586,0,Kneiff,560,Moselle River,133,654768
Senegal,196722,192530,4192,Baunez ridge 2.7 km southeast of Nepen Diakha,648,North Atlantic Ocean,0,17763163
Cook Islands,236,236,0,Te Manga on Rarotonga,652,South Pacific Ocean,0,17044
Benin,114763,114305,457.569,Mont Sokbaro,658,Bight of Benin,0,13712828
Belgium,30528,30278,250,Signal de Botrange,694,De Moeren,-4,11686140
San Marino,61,61,0,Monte Titano,739,Ausa River,55,33642
Burkina Faso,274222,273602,620,Mount Tenakourou,749,Black Volta,200,23251485
Mauritius,2040,2030,10,Piton de la Petite Rivière Noire,828,Indian Ocean,0,1300557
Grenada,344,344,0,Mount Saint Catherine,840,Caribbean Sea,0,126184
Paraguay,406752,397302,9450,Cerro Peró,842,Paraguay River,46,6861524
Ghana,238533,227533,11000,Mount Afadjato,880,Gulf of Guinea,0,34121985
Seychelles,452,455,0,Morne Seychellois on Mahé,905,Indian Ocean,0,10766
Mauritania,1030700,1025520,4480,Kediet ej Jill,915,Sebkha de Ndrhamcha,-5,4862989
Trinidad and Tobago,5130,5128,0,El Cerro del Aripo on Trinidad,940,Caribbean Sea,0,1534937
Saint Lucia,616,606,10,Mount Gimie,950,Caribbean Sea,0,180251
Togo,56785,54385,2400,Mont Agou,986,Bight of Benin,0,9053799
Hungary,93028,89608,3420,Kékes,1014,Tisza,76,10156239
Tonga,747,717,30,Unnamed location on Kao,1033,South Pacific Ocean,0,107773
Ireland,70273,68883,1390,Carrauntoohil,1038,North Slob,-3,5056935
Bangladesh,148460,134208,14252,Saka Haphong,1052,Bay of Bengal,0,172954319
Gabon,267668,257667,10001,Mont Bengoué,1070,Atlantic Ocean,0,2436567
Belize,22966,22806,160,Doyle's Delight,1124,Caribbean Sea,0,410825
Mali,1240192,1220190,20002,Hombori Tondo,1155,Senegal River,23,23293699
Saint Kitts and Nevis,261,261,0,Mount Liamuiga on Saint Kitts,1156,Caribbean Sea,0,47755
Israel,20770,20330,440,"Mount Meron (*de jure*; inside the Green Line) 

Mount Hermon (*de facto*; in the occupiedGolan Heights)[z]",1208,Dead Sea[aa],-428,9174520
Suriname,163820,156000,7820,Juliana Top,1230,North Atlantic Ocean,0,623237
Saint Vincent and the Grenadines,389,389,0,La Soufrière,1234,Caribbean Sea,0,103699
Fiji,18272,18274,0,Tomanivi on Viti Levu,1324,South Pacific Ocean,0,936376
United Kingdom,242495,241930,1680,Ben Nevis,1345,Holme Fen[16],-4,67736802
Central African Republic,622984,622984,0,Mont Ngaoui,1420,Ubangi River,335,5742316
Liberia,111369,96320,15049,Mount Wuteve,1440,North Atlantic Ocean,0,5418377
Dominica,751,751,0,Morne Diablotins,1447,Caribbean Sea,0,7304
Botswana,581730,566730,15000,Otse Hill,1491,Confluence of Limpopo River and Shashe River,513,2675353
Tunisia,163610,155360,8250,Jebel ech Chambi,1544,Shatt al Gharsah,-17,12458223
Guinea,245857,245717,140,Mont Nimba,1752,North Atlantic Ocean,0,14190612
Ivory Coast,322463,318003,4460,Mont Nimba,1752,Gulf of Guinea,0,28873034
Cambodia,181035,176515,4520,Phnom Aural,1810,Gulf of Thailand,0,16944826
Croatia,56594,55974,620,Dinara,1831,Adriatic Sea,0,4008617
Brunei,5765,5265,500,Bukit Pagon,1850,South China Sea,0,452524
Jordan,89342,88802,540,Jabal Umm ad Dami,1854,Dead Sea[aa],-428,11337053
Samoa,2842,2821,10,Mauga Silisili on Savai'i,1857,South Pacific Ocean,0,225681
Eswatini,17364,17204,160,Emlembe,1862,Maputo River,21,1210822
Vanuatu,12189,12189,0,Mount Tabwemasana on Espiritu Santo,1877,South Pacific Ocean,0,334506
United Arab Emirates,83600,83600,0,Jabal Al Jais,1910,"Persian Gulf
Gulf of Oman",0,9516871
Sierra Leone,71740,71620,120,Mount Bintumani,1948,North Atlantic Ocean,0,8791092
